"Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2","U:0","U:1","U:2","alpha.water","ddt0(epsilon)","ddt0(k)","ddt0(rho,U):0","ddt0(rho,U):1","ddt0(rho,U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","epsilon","k","nut","p","p_rgh","total(p)"
0.061362,-0.13305,0.98921,-1.2,-1.9897,0.0197,-0.00022966,-0.26523,-0.035662,0.5,8.7331e-05,1.9724e-05,-0.00045628,-0.15196,-0.018796,-5.7668e-06,-5.2682e-05,-1.5986e-06,0.019217,0.0067642,9.124e-05,16.36,70.186,73.567
0.037192,-0.18464,0.9821,-1.1729,-2,0.015981,0.0024367,-0.79412,-0.10044,0.5,0.00027421,4.2813e-05,0.0060519,-0.42987,-0.057748,6.5066e-07,-0.00020363,-2.7002e-05,0.046818,0.013244,0.00040125,-38.849,5.227,145.62
0.027719,-0.13833,0.99,-1.1734,-1.9953,0.016854,0.0021139,-0.80364,-0.10131,0.5,0.00025656,4.1354e-05,0.0061333,-0.44417,-0.058625,7.6031e-07,-0.00021318,-2.6769e-05,0.044334,0.013012,0.00041241,-26.343,23.357,155.79
0.061749,-0.19074,0.9797,-1.2,-2,0.01769,-6.6246e-05,-0.38706,-0.049638,0.5,9.6562e-05,2.1347e-05,-0.00069805,-0.24266,-0.030011,-7.7279e-06,-8.0738e-05,-5.4123e-06,0.020448,0.0069996,0.00011871,1.2636,44.421,92.704
-0.0059522,-0.14008,0.99012,-1.1546,-2,0.016307,0.0051191,-0.8356,-0.10313,0.5,0.00039472,5.6143e-05,0.020114,-0.43258,-0.060572,3.0346e-05,-0.0002513,-4.2937e-05,0.073237,0.019717,0.00063056,-47.114,0,149.31
0.014279,-0.20154,0.97938,-0.45618,-2,0.015258,0.0043057,-0.80085,-0.10662,0.5,4.0037e-05,1.1168e-05,0.0036433,0.32101,0.043792,9.3576e-07,0.0002143,3.3109e-05,0.075136,0.020249,0.00061257,-41.698,1.4284,138.99
0.010493,-0.17538,0.98445,-0.45615,-1.9988,0.015511,0.0044692,-0.80311,-0.10689,0.5,4.0772e-05,1.107e-05,0.00374,0.32318,0.044089,1.0828e-06,0.00021584,3.3261e-05,0.073851,0.020141,0.00061657,-38.048,6.7434,141.87
0.0069935,-0.16699,0.98593,-0.46814,-2,0.015392,0.0057726,-0.81312,-0.10743,0.5,3.2102e-05,9.6684e-06,0.0055966,0.31959,0.045042,5.949e-06,0.00023,3.6868e-05,0.083434,0.022321,0.00070433,-44.091,0,141.05
-0.0074327,-0.20402,0.97894,-0.42709,-2,0.014736,0.0032975,-0.73903,-0.10395,0.5,2.3429e-05,5.2587e-06,0.0012352,0.32508,0.045558,-6.8137e-06,0.00014768,2.5844e-05,0.038118,0.010981,0.000314,-30.89,9.0585,132.82
-0.03831,-0.15942,0.98647,-0.42622,-1.9922,0.016384,0.0044535,-0.75396,-0.10562,0.5,2.6361e-05,5.0047e-06,-7.3625e-05,0.33429,0.045768,-8.3223e-06,0.00015797,2.4808e-05,0.034722,0.010598,0.00032841,-9.3351,40.384,149.37
