XYZ (38 points)
-0.882 -1.504 0.000
-0.880 -1.354 0.000
-0.877 -1.204 0.000
-0.877 -1.055 0.000
-0.878 -0.905 0.000
-0.879 -0.755 0.000
-0.880 -0.605 0.000
-0.881 -0.455 0.000
-0.882 -0.305 0.000
-0.880 -0.156 0.000
-0.867 -0.007 0.000
-0.840 0.141 0.000
-0.807 0.287 0.000
-0.748 0.422 0.000
-0.664 0.546 0.000
-0.562 0.655 0.000
-0.424 0.712 0.000
-0.279 0.745 0.000
-0.130 0.759 0.000
0.020 0.760 0.000
0.167 0.744 0.000
0.310 0.699 0.000
0.440 0.631 0.000
0.551 0.531 0.000
0.644 0.416 0.000
0.719 0.286 0.000
0.773 0.149 0.000
0.799 0.001 0.000
0.812 -0.148 0.000
0.819 -0.297 0.000
0.819 -0.447 0.000
0.817 -0.597 0.000
0.815 -0.747 0.000
0.814 -0.897 0.000
0.814 -1.047 0.000
0.814 -1.196 0.000
0.814 -1.346 0.000
0.814 -1.496 0.000
